Transaction_ID,Store_ID,Store_Type,City,Region,Date,Year,Month,Department,Product,Customer_ID,Customer_Type,Gender,Age,Quantity,Unit_Price,Discount_Percent,Sales,Cost,Profit,Product_Rating,Stock_Quantity,Payment_Method,Order_Status,Sales_Channel,Holiday_Flag
TXN100012,Store_13,Department Store,Salem,South,12-08-2024,2024,8,Beauty,Face Wash,CUST11452,Returning,Male,54,3,455.13,15,1160.57,891.71,268.86,4,362,Debit Card,Completed,Physical Store,0
TXN100013,Store_8,Supermarket,Trichy,South,22-02-2024,2024,2,Clothing,Shirt,CUST21015,Returning,Female,24,2,1486.24,0,2972.48,2297.37,675.11,3.8,308,UPI,Completed,Physical Store,0
TXN100014,Store_9,Supermarket,Pune,West,20-03-2024,2024,3,Sports,Football,CUST11616,Returning,Female,46,1,1156.72,0,1156.72,859.94,296.78,4.1,286,Debit Card,Completed,Physical Store,0
TXN100015,Store_19,Department Store,Hyderabad,South,14-12-2024,2024,12,Home,Bedsheet,CUST23098,Returning,Male,58,2,1263.3,10,2273.94,1633.19,640.75,4.4,142,UPI,Completed,Physical Store,0
TXN100016,Store_9,Convenience Store,Delhi,North,21-07-2025,2025,7,Grocery,Rice,CUST15106,New,Male,30,1,835.49,0,835.49,608.15,227.34,3.2,214,UPI,Completed,Physical Store,0
TXN100017,Store_5,Department Store,Salem,South,28-04-2025,2025,4,Electronics,Headphones,CUST15370,New,Female,26,2,2252.45,5,4279.66,3080.17,1199.49,3.9,309,Credit Card,Completed,Physical Store,0
TXN100018,Store_19,Supermarket,Mumbai,West,06-02-2024,2024,2,Grocery,Coffee,CUST19219,New,Female,52,1,376.46,10,338.81,251.44,87.37,3.9,455,UPI,Completed,Physical Store,0
TXN100019,Store_13,Supermarket,Mumbai,West,12-10-2025,2025,10,Beauty,Shampoo,CUST17397,Returning,Female,59,2,590.33,10,1062.6,884.64,177.96,3.7,344,UPI,Completed,Physical Store,0
TXN100020,Store_19,Supermarket,Coimbatore,South,10-08-2024,2024,8,Electronics,Speaker,CUST14073,Returning,Female,55,2,2250.94,10,4051.69,3627.15,424.54,3.9,17,Debit Card,Completed,Physical Store,0
TXN100021,Store_11,Supermarket,Bengaluru,South,18-06-2025,2025,6,Grocery,Coffee,CUST20811,Returning,Male,28,1,347.45,20,277.96,260.09,17.87,4.6,393,UPI,Completed,Physical Store,1
TXN100022,Store_18,Supermarket,Coimbatore,South,01-01-2024,2024,1,Electronics,Smartphone,CUST11618,Returning,Female,33,5,23650.66,5,112340.63,81141.86,31198.77,4.6,373,Cash,Completed,Physical Store,1
TXN100023,Store_2,Convenience Store,Hyderabad,South,10-05-2024,2024,5,Beauty,Moisturizer,CUST11032,New,Female,58,2,727.69,20,1164.31,907.35,256.96,3.9,239,UPI,Completed,Physical Store,1
TXN100024,Store_11,Supermarket,Hyderabad,South,24-02-2024,2024,2,Home,Cookware,CUST13155,Returning,Female,55,3,1799.95,5,5129.85,3726.08,1403.77,4.2,277,Debit Card,Completed,Physical Store,0
TXN100025,Store_10,Department Store,Pune,West,04-05-2025,2025,5,Grocery,Cooking Oil,CUST15376,Returning,Female,24,1,180.69,0,180.69,121.57,59.12,3.2,399,Credit Card,Completed,Physical Store,0
TXN100026,Store_11,Department Store,Mumbai,West,15-07-2024,2024,7,Beauty,Perfume,CUST11599,New,Male,56,1,1862.23,15,1582.9,1304.74,278.16,3.8,11,Credit Card,Completed,Physical Store,0
TXN100027,Store_20,Supermarket,Delhi,North,12-01-2025,2025,1,Electronics,Smartphone,CUST20592,New,Male,34,2,25906.46,0,51812.92,34427.01,17385.91,3.4,320,UPI,Completed,Physical Store,1
TXN100028,Store_6,Department Store,Pune,West,08-11-2025,2025,11,Clothing,Shirt,CUST23472,Returning,Male,45,2,1509.81,0,3019.63,2053.75,965.88,3.8,181,UPI,Completed,Physical Store,1
TXN100029,Store_1,Department Store,Madurai,South,07-07-2025,2025,7,Electronics,Speaker,CUST12056,Returning,Male,59,1,2411.05,5,2290.5,1805.5,485,3.6,263,Cash,Completed,Physical Store,0
TXN100030,Store_15,Department Store,Trichy,South,28-09-2025,2025,9,Beauty,Perfume,CUST13946,New,Male,50,1,1670.18,10,1503.16,1322.97,180.19,4.5,414,Cash,Returned,Physical Store,0
TXN100031,Store_8,Convenience Store,Mumbai,West,03-06-2025,2025,6,Sports,Yoga Mat,CUST17888,Returning,Male,31,1,971.96,0,971.96,695,276.96,4,217,Debit Card,Completed,Physical Store,0
TXN100032,Store_15,Supermarket,Pune,West,03-06-2025,2025,6,Beauty,Face Wash,CUST22267,Returning,Female,33,2,415.93,5,790.26,562.41,227.85,4.2,177,Debit Card,Completed,Physical Store,0
TXN100033,Store_5,Convenience Store,Bengaluru,South,20-06-2024,2024,6,Electronics,Smartphone,CUST14538,Returning,Female,39,2,24978.48,10,44961.26,33526.51,11434.75,3.1,262,UPI,Completed,Physical Store,0
TXN100034,Store_5,Convenience Store,Mumbai,West,13-10-2024,2024,10,Sports,Running Shoes,CUST16231,Returning,Male,24,1,2679.96,15,2277.96,2015.12,262.84,4.4,335,Cash,Completed,Physical Store,0
TXN100035,Store_15,Convenience Store,Coimbatore,South,22-07-2024,2024,7,Electronics,Smartphone,CUST23578,Returning,Female,61,2,22504.67,0,45009.34,29111.09,15898.25,4.3,38,UPI,Completed,Physical Store,0
TXN100036,Store_15,Department Store,Coimbatore,South,10-07-2024,2024,7,Grocery,Snacks,CUST18472,New,Female,59,5,180.06,0,900.31,657,243.31,4.2,390,UPI,Completed,Physical Store,0
TXN100037,Store_3,Supermarket,Trichy,South,15-12-2024,2024,12,Sports,Running Shoes,CUST22151,Returning,Female,21,3,2846.04,0,8538.11,5542.38,2995.73,4.2,372,Debit Card,Completed,Physical Store,0
TXN100038,Store_12,Supermarket,Delhi,North,13-04-2024,2024,4,Grocery,Cooking Oil,CUST24103,Returning,Male,28,3,167.55,10,452.39,363.77,88.62,3.7,489,Credit Card,Completed,Physical Store,0
TXN100039,Store_3,Supermarket,Bengaluru,South,20-05-2024,2024,5,Home,Bedsheet,CUST23103,Returning,Female,21,2,1294.62,0,2589.23,1800.51,788.72,5,23,Cash,Completed,Physical Store,0
TXN100040,Store_4,Department Store,Pune,West,03-10-2025,2025,10,Beauty,Soap,CUST13685,Returning,Male,54,4,83.35,0,333.41,270.8,62.61,5,160,Debit Card,Completed,Physical Store,0
TXN100041,Store_18,Department Store,Hyderabad,South,10-02-2025,2025,2,Electronics,Speaker,CUST23319,Returning,Female,56,5,2710.75,10,12198.37,8870.04,3328.33,3.8,465,Credit Card,Completed,Physical Store,1
TXN100042,Store_11,Supermarket,Salem,South,31-05-2024,2024,5,Sports,Football,CUST14637,New,Male,60,2,1227.76,5,2332.75,1661.75,671,3.5,405,UPI,Completed,Physical Store,0
TXN100043,Store_5,Convenience Store,Salem,South,02-08-2024,2024,8,Electronics,Speaker,CUST23170,Returning,Female,49,1,2477.11,10,2229.4,1684.94,544.46,3.7,297,UPI,Completed,Physical Store,0
TXN100044,Store_10,Supermarket,Delhi,North,15-11-2025,2025,11,Grocery,Snacks,CUST21790,Returning,Male,34,3,168.61,5,480.53,378.25,102.28,3.8,391,UPI,Completed,Physical Store,1
TXN100045,Store_18,Convenience Store,Trichy,South,14-12-2024,2024,12,Electronics,Speaker,CUST14474,Returning,Female,61,5,2680.16,10,12060.72,8569,3491.72,5,417,Credit Card,Completed,Physical Store,0
TXN100046,Store_11,Convenience Store,Coimbatore,South,07-11-2025,2025,11,Home,Chair,CUST17142,Returning,Male,25,1,2810.23,0,2810.23,1805.67,1004.56,3.4,39,Cash,Completed,Physical Store,0
TXN100047,Store_13,Department Store,Mumbai,West,20-08-2024,2024,8,Clothing,Jacket,CUST20604,Returning,Female,61,1,2269.79,0,2269.79,1601.12,668.67,4.5,461,Cash,Completed,Physical Store,0
TXN100048,Store_3,Convenience Store,Bengaluru,South,22-03-2024,2024,3,Home,Storage Box,CUST12958,Returning,Male,19,1,696.94,0,696.94,497.72,199.22,3.3,5,Cash,Completed,Physical Store,0
TXN100049,Store_17,Supermarket,Trichy,South,26-09-2025,2025,9,Grocery,Biscuits,CUST13006,Returning,Male,52,2,127.8,10,230.04,190.7,39.34,3.9,82,UPI,Completed,Physical Store,0
TXN100050,Store_16,Convenience Store,Trichy,South,04-07-2025,2025,7,Home,Chair,CUST12012,New,Female,21,4,2895.65,5,11003.47,7489.25,3514.22,3.1,116,UPI,Completed,Physical Store,0
TXN100051,Store_15,Supermarket,Trichy,South,16-11-2025,2025,11,Electronics,Smartwatch,CUST19947,Returning,Female,39,3,4811.18,0,14433.55,11752.06,2681.49,4.4,134,Debit Card,Completed,Physical Store,0
TXN100052,Store_8,Department Store,Hyderabad,South,23-05-2025,2025,5,Grocery,Snacks,CUST24532,New,Female,60,2,183.72,10,330.7,273.59,57.11,4.3,414,Credit Card,Completed,Physical Store,0
TXN100053,Store_12,Convenience Store,Pune,West,29-03-2025,2025,3,Sports,Badminton Racket,CUST15818,New,Female,37,4,1598.12,0,6392.46,4801.29,1591.17,3.5,164,UPI,Completed,Physical Store,0
TXN100054,Store_10,Department Store,Hyderabad,South,02-04-2025,2025,4,Sports,Badminton Racket,CUST18074,New,Male,26,2,1710.85,10,3079.54,2537.26,542.28,4.2,34,UPI,Completed,Physical Store,0
TXN100055,Store_19,Department Store,Madurai,South,16-11-2025,2025,11,Clothing,Shirt,CUST12621,New,Male,56,1,1320.25,5,1254.24,897.82,356.42,2.5,189,UPI,Completed,Physical Store,0
TXN100056,Store_15,Convenience Store,Pune,West,01-09-2024,2024,9,Grocery,Biscuits,CUST11691,New,Male,54,3,119.84,10,323.56,254.99,68.57,3.1,251,UPI,Completed,Physical Store,1
TXN100057,Store_13,Convenience Store,Pune,West,09-11-2025,2025,11,Home,Bedsheet,CUST13676,New,Male,55,1,1280.96,0,1280.96,969.12,311.84,3.4,249,UPI,Completed,Physical Store,0
TXN100058,Store_14,Supermarket,Delhi,North,28-05-2024,2024,5,Home,Cookware,CUST22710,Returning,Male,60,1,1853.5,0,1853.5,1516.52,336.98,4,74,Cash,Returned,Physical Store,0
TXN100059,Store_19,Supermarket,Trichy,South,23-05-2025,2025,5,Sports,Football,CUST21971,Returning,Female,56,1,1290.99,0,1290.99,923.67,367.32,4.2,218,UPI,Completed,Physical Store,0
TXN100060,Store_7,Department Store,Madurai,South,15-05-2024,2024,5,Beauty,Face Wash,CUST10312,Returning,Female,36,1,431.45,0,431.45,279.22,152.23,4.8,83,UPI,Completed,Physical Store,0
TXN100061,Store_2,Supermarket,Mumbai,West,17-03-2024,2024,3,Home,Cookware,CUST15257,New,Female,63,2,1717.78,5,3263.78,2285.48,978.3,4.4,492,Credit Card,Cancelled,Physical Store,0
TXN100062,Store_20,Department Store,Mumbai,West,16-10-2024,2024,10,Grocery,Snacks,CUST15959,Returning,Female,45,3,166.14,20,398.74,344.89,53.85,2.9,490,Debit Card,Completed,Physical Store,0
TXN100063,Store_8,Supermarket,Delhi,North,15-09-2024,2024,9,Clothing,Shirt,CUST14294,New,Male,64,1,1293.5,10,1164.15,1050.62,113.53,3.9,116,Credit Card,Completed,Physical Store,0
TXN100064,Store_17,Department Store,Mumbai,West,14-11-2024,2024,11,Beauty,Shampoo,CUST17716,New,Male,26,3,546.03,10,1474.29,1338.67,135.62,4.3,370,UPI,Completed,Physical Store,0
TXN100065,Store_13,Supermarket,Salem,South,17-07-2024,2024,7,Sports,Cricket Bat,CUST19961,Returning,Female,28,2,2022.76,15,3438.69,3080.37,358.32,3.5,150,UPI,Completed,Physical Store,0
TXN100066,Store_20,Convenience Store,Chennai,South,14-07-2024,2024,7,Beauty,Face Wash,CUST18761,New,Male,59,2,433.84,5,824.3,643.48,180.82,3.9,334,UPI,Completed,Physical Store,0
TXN100067,Store_20,Department Store,Pune,West,30-09-2025,2025,9,Grocery,Rice,CUST22992,Returning,Male,36,5,896.67,0,4483.36,3623.94,859.42,4.3,126,UPI,Returned,Physical Store,0
TXN100068,Store_14,Supermarket,Madurai,South,25-06-2024,2024,6,Beauty,Moisturizer,CUST11578,Returning,Female,20,1,651.85,5,619.26,515.21,104.05,4.1,176,Cash,Completed,Physical Store,0
TXN100069,Store_14,Convenience Store,Salem,South,12-06-2025,2025,6,Electronics,Smartphone,CUST22010,Returning,Male,32,2,27367.71,0,54735.43,43383.72,11351.71,4.7,59,Debit Card,Completed,Physical Store,0
TXN100070,Store_11,Convenience Store,Hyderabad,South,09-06-2025,2025,6,Clothing,Shirt,CUST23245,Returning,Female,51,1,1401.17,20,1120.93,922.65,198.28,4.2,277,UPI,Completed,Physical Store,0
TXN100071,Store_8,Supermarket,Mumbai,West,27-02-2024,2024,2,Grocery,Rice,CUST10468,Returning,Female,22,1,958.77,5,910.84,630.83,280.01,4.8,455,UPI,Returned,Physical Store,0
TXN100072,Store_12,Convenience Store,Salem,South,04-11-2024,2024,11,Home,Chair,CUST10421,Returning,Female,36,2,2809.83,5,5338.68,3804.78,1533.9,3.9,492,Cash,Completed,Physical Store,0
TXN100073,Store_15,Department Store,Pune,West,18-12-2025,2025,12,Electronics,Speaker,CUST10513,New,Female,58,1,2417.29,5,2296.42,1560.28,736.14,3.7,174,UPI,Completed,Physical Store,1
TXN100074,Store_20,Supermarket,Bengaluru,South,27-01-2025,2025,1,Beauty,Moisturizer,CUST20941,Returning,Male,48,1,723.42,15,614.91,537.91,77,3.6,447,UPI,Completed,Physical Store,0
TXN100075,Store_8,Convenience Store,Mumbai,West,22-04-2025,2025,4,Grocery,Rice,CUST13592,Returning,Male,24,4,878.39,0,3513.56,2597.16,916.4,3.8,403,Cash,Completed,Physical Store,0
TXN100076,Store_18,Department Store,Mumbai,West,20-01-2024,2024,1,Home,Bedsheet,CUST11786,New,Male,56,1,1292.4,5,1227.78,834.31,393.47,4.3,89,UPI,Completed,Physical Store,0
TXN100077,Store_18,Supermarket,Mumbai,West,28-01-2025,2025,1,Home,Bedsheet,CUST13899,New,Female,26,2,1228.27,0,2456.54,1851.97,604.57,4,329,UPI,Completed,Physical Store,1
TXN100078,Store_5,Department Store,Pune,West,01-08-2025,2025,8,Grocery,Cooking Oil,CUST22925,New,Female,31,1,169.22,10,152.3,125.36,26.94,4.5,247,Cash,Completed,Physical Store,0
TXN100079,Store_18,Convenience Store,Madurai,South,08-07-2025,2025,7,Beauty,Moisturizer,CUST21298,New,Female,26,1,710.46,10,639.42,474.57,164.85,3.7,261,UPI,Completed,Physical Store,0
TXN100080,Store_8,Supermarket,Salem,South,17-02-2024,2024,2,Beauty,Shampoo,CUST17057,Returning,Female,62,3,502.32,5,1431.62,1141.02,290.6,4,51,Credit Card,Completed,Physical Store,0
TXN100081,Store_3,Department Store,Bengaluru,South,22-02-2025,2025,2,Home,Cookware,CUST20077,New,Female,29,2,1792.54,10,3226.57,2912.28,314.29,3.2,341,Debit Card,Completed,Physical Store,1
TXN100082,Store_13,Department Store,Chennai,South,09-08-2024,2024,8,Home,Storage Box,CUST13887,Returning,Male,34,1,627,5,595.65,449.68,145.97,4.4,157,Debit Card,Completed,Physical Store,0
TXN100083,Store_19,Supermarket,Trichy,South,18-01-2025,2025,1,Clothing,Jeans,CUST21015,New,Male,30,2,1829.31,5,3475.69,2769.32,706.37,4.3,402,Debit Card,Completed,Physical Store,0
TXN100084,Store_8,Supermarket,Mumbai,West,21-10-2024,2024,10,Electronics,Smartphone,CUST14827,Returning,Female,25,1,27165.88,0,27165.88,19123.94,8041.94,4.1,44,Debit Card,Completed,Physical Store,0
TXN100085,Store_10,Supermarket,Mumbai,West,17-10-2025,2025,10,Sports,Football,CUST16232,Returning,Male,25,3,1106.91,0,3320.74,2431.86,888.88,4,63,UPI,Returned,Physical Store,1
TXN100086,Store_20,Supermarket,Coimbatore,South,21-03-2024,2024,3,Sports,Running Shoes,CUST24856,New,Male,65,2,3071.87,5,5836.54,4682.72,1153.82,3.6,335,Cash,Cancelled,Physical Store,0
TXN100087,Store_4,Convenience Store,Pune,West,23-03-2025,2025,3,Beauty,Face Wash,CUST10137,Returning,Female,28,1,447.07,5,424.72,315.64,109.08,3.8,13,UPI,Cancelled,Physical Store,1
TXN100088,Store_17,Department Store,Madurai,South,28-12-2025,2025,12,Electronics,Tablet,CUST12139,Returning,Male,38,1,17723.68,0,17723.68,12534.24,5189.44,4.6,56,UPI,Completed,Physical Store,0
TXN100089,Store_8,Supermarket,Pune,West,30-05-2024,2024,5,Grocery,Cooking Oil,CUST11287,Returning,Male,54,1,191.32,0,191.32,147.95,43.37,3.7,192,UPI,Completed,Physical Store,0
TXN100090,Store_3,Convenience Store,Pune,West,23-01-2025,2025,1,Home,Chair,CUST13112,Returning,Female,30,3,3239.61,5,9232.9,7522.89,1710.01,3.1,279,Cash,Completed,Physical Store,0
TXN100091,Store_1,Convenience Store,Bengaluru,South,13-09-2024,2024,9,Sports,Badminton Racket,CUST21286,Returning,Female,43,2,1669.02,5,3171.13,2671.85,499.28,4.7,292,Debit Card,Completed,Physical Store,0
TXN100092,Store_9,Supermarket,Trichy,South,13-03-2025,2025,3,Electronics,Headphones,CUST12382,Returning,Male,43,1,2130.44,0,2130.44,1421.19,709.25,3.9,111,UPI,Completed,Physical Store,0
TXN100093,Store_5,Convenience Store,Pune,West,02-05-2025,2025,5,Sports,Badminton Racket,CUST16066,Returning,Male,59,4,1667.47,0,6669.87,4983.9,1685.97,5,193,Credit Card,Completed,Physical Store,0
TXN100094,Store_3,Department Store,Coimbatore,South,24-12-2025,2025,12,Home,Cleaning Kit,CUST16497,Returning,Female,30,2,500.12,5,950.23,648.07,302.16,3.9,265,Cash,Completed,Physical Store,0
TXN100095,Store_14,Supermarket,Hyderabad,South,13-05-2024,2024,5,Sports,Yoga Mat,CUST21460,Returning,Male,29,3,912.34,0,2737.02,2114.99,622.03,3.7,89,Debit Card,Completed,Physical Store,0
TXN100096,Store_11,Supermarket,Trichy,South,06-03-2025,2025,3,Electronics,Smartwatch,CUST23422,Returning,Female,56,4,4410.65,10,15878.33,11816.39,4061.94,3.9,460,Credit Card,Completed,Physical Store,0
TXN100097,Store_10,Supermarket,Trichy,South,28-03-2024,2024,3,Clothing,Shoes,CUST13441,Returning,Male,28,1,3151.49,5,2993.91,2007.91,986,3.8,452,UPI,Completed,Physical Store,0
TXN100098,Store_12,Convenience Store,Pune,West,21-07-2025,2025,7,Sports,Football,CUST20811,New,Male,30,5,1280.33,0,6401.65,4776.39,1625.26,3.4,386,UPI,Completed,Physical Store,0
TXN100099,Store_6,Department Store,Coimbatore,South,31-10-2024,2024,10,Electronics,Speaker,CUST13628,New,Female,54,1,2653.02,0,2653.02,1703.71,949.31,4.3,475,Credit Card,Completed,Physical Store,0
TXN100100,Store_16,Department Store,Coimbatore,South,07-11-2024,2024,11,Sports,Yoga Mat,CUST18463,Returning,Male,24,1,902,10,811.8,729.88,81.92,4,78,UPI,Completed,Physical Store,0
TXN100101,Store_5,Supermarket,Salem,South,18-12-2024,2024,12,Home,Chair,CUST10398,New,Female,30,1,2880.79,5,2736.75,1820.38,916.37,3.5,106,UPI,Completed,Physical Store,0
TXN100102,Store_6,Convenience Store,Bengaluru,South,15-02-2025,2025,2,Home,Cleaning Kit,CUST23775,Returning,Female,57,2,455.69,0,911.38,715.96,195.42,4.1,480,Debit Card,Completed,Physical Store,0
TXN100103,Store_9,Convenience Store,Pune,West,16-07-2025,2025,7,Grocery,Cooking Oil,CUST11368,New,Female,34,3,182.85,10,493.7,417.74,75.96,5,451,Credit Card,Completed,Physical Store,0
TXN100104,Store_15,Department Store,Coimbatore,South,15-09-2024,2024,9,Home,Cleaning Kit,CUST11239,New,Male,52,1,520.74,10,468.67,397.07,71.6,4.3,496,UPI,Completed,Physical Store,1
TXN100105,Store_16,Department Store,Pune,West,31-07-2024,2024,7,Electronics,Headphones,CUST11243,Returning,Male,28,1,2166.81,10,1950.13,1397.08,553.05,3.5,172,Debit Card,Completed,Physical Store,0
TXN100106,Store_14,Convenience Store,Salem,South,23-12-2025,2025,12,Beauty,Moisturizer,CUST23545,Returning,Male,40,3,675.03,5,1923.83,1447.98,475.85,4.2,22,Credit Card,Completed,Physical Store,0
TXN100107,Store_20,Supermarket,Mumbai,West,27-11-2024,2024,11,Beauty,Soap,CUST18581,New,Female,27,1,89.93,5,85.43,64.27,21.16,4.7,167,Cash,Completed,Physical Store,0
TXN100108,Store_11,Convenience Store,Hyderabad,South,06-09-2024,2024,9,Beauty,Face Wash,CUST17972,Returning,Female,41,1,453.72,5,431.04,301.13,129.91,3.8,361,Debit Card,Completed,Physical Store,0
TXN100109,Store_1,Department Store,Bengaluru,South,18-02-2024,2024,2,Clothing,Shirt,CUST21041,Returning,Female,54,2,1282.53,5,2436.81,1819.71,617.1,3.9,120,UPI,Completed,Physical Store,0
TXN100110,Store_4,Department Store,Chennai,South,10-08-2024,2024,8,Grocery,Biscuits,CUST14106,Returning,Male,41,1,116.06,5,110.25,93.67,16.58,3.6,251,Cash,Completed,Physical Store,0
TXN100111,Store_2,Department Store,Coimbatore,South,25-03-2024,2024,3,Beauty,Perfume,CUST15279,New,Female,40,1,1625.42,0,1625.42,1136.32,489.1,3.2,53,Cash,Returned,Physical Store,0
TXN100112,Store_4,Department Store,Delhi,North,09-06-2025,2025,6,Grocery,Cooking Oil,CUST17159,Returning,Female,20,1,178.44,5,169.52,124.79,44.73,3.9,105,UPI,Completed,Physical Store,0
TXN100113,Store_5,Supermarket,Bengaluru,South,22-10-2025,2025,10,Beauty,Face Wash,CUST17297,New,Male,22,3,422.21,20,1013.3,888.52,124.78,3.6,321,UPI,Completed,Physical Store,0
TXN100114,Store_10,Supermarket,Hyderabad,South,17-09-2024,2024,9,Grocery,Snacks,CUST13700,Returning,Male,26,2,195.29,10,351.52,306.56,44.96,4.1,20,UPI,Completed,Physical Store,0
TXN100115,Store_3,Supermarket,Mumbai,West,01-03-2024,2024,3,Grocery,Snacks,CUST11209,Returning,Female,57,1,197.87,0,197.87,130.78,67.09,3.9,377,Debit Card,Completed,Physical Store,1
TXN100116,Store_1,Department Store,Delhi,North,16-12-2025,2025,12,Electronics,Speaker,CUST12037,New,Female,50,3,2694.56,0,8083.67,5786.66,2297.01,3.8,500,Cash,Completed,Physical Store,0
TXN100117,Store_12,Supermarket,Mumbai,West,17-01-2024,2024,1,Home,Chair,CUST15905,New,Male,27,4,3069.77,0,12279.06,9680.55,2598.51,4,52,UPI,Returned,Physical Store,0
TXN100118,Store_12,Convenience Store,Trichy,South,29-01-2025,2025,1,Electronics,Speaker,CUST11363,New,Male,47,2,2568.67,0,5137.34,3759.12,1378.22,3.7,216,UPI,Completed,Physical Store,0
TXN100119,Store_5,Department Store,Bengaluru,South,02-04-2025,2025,4,Electronics,Headphones,CUST17174,Returning,Female,62,1,2265.27,0,2265.27,1853.08,412.19,4.8,138,UPI,Completed,Physical Store,0
TXN100120,Store_3,Convenience Store,Madurai,South,28-08-2025,2025,8,Beauty,Perfume,CUST15883,Returning,Male,34,3,1646.25,10,4444.89,3573.11,871.78,3.5,343,UPI,Completed,Physical Store,1
TXN100121,Store_20,Convenience Store,Salem,South,12-03-2024,2024,3,Clothing,Jeans,CUST10346,Returning,Male,20,3,1877.47,0,5632.41,3868.63,1763.78,4.3,349,Debit Card,Completed,Physical Store,0
TXN100122,Store_15,Convenience Store,Hyderabad,South,28-07-2024,2024,7,Electronics,Smartphone,CUST12181,New,Male,20,3,25325.12,0,75975.36,62170.99,13804.37,4.7,205,UPI,Completed,Physical Store,0
TXN100123,Store_14,Convenience Store,Hyderabad,South,29-04-2024,2024,4,Sports,Football,CUST12687,Returning,Male,61,1,1177.83,15,1001.16,822.17,178.99,4.3,448,Debit Card,Completed,Physical Store,0
TXN100124,Store_4,Department Store,Hyderabad,South,01-09-2025,2025,9,Beauty,Face Wash,CUST16396,New,Female,41,1,462.83,10,416.54,319.82,96.72,4.3,464,UPI,Completed,Physical Store,0
TXN100125,Store_13,Convenience Store,Coimbatore,South,21-09-2024,2024,9,Clothing,T-Shirt,CUST11562,Returning,Female,22,3,874.95,5,2493.62,1647.2,846.42,3.6,148,Debit Card,Completed,Physical Store,0
TXN100126,Store_18,Supermarket,Chennai,South,27-10-2024,2024,10,Beauty,Perfume,CUST21039,Returning,Male,19,3,1951.85,15,4977.21,4680.74,296.47,3.2,467,UPI,Completed,Physical Store,0
TXN100127,Store_10,Department Store,Coimbatore,South,17-10-2024,2024,10,Sports,Yoga Mat,CUST20352,New,Male,23,1,900.37,5,855.35,601.94,253.41,2.9,341,Debit Card,Completed,Physical Store,0
TXN100128,Store_11,Convenience Store,Salem,South,07-01-2024,2024,1,Home,Chair,CUST15675,New,Male,45,4,2708.71,0,10834.82,8006.05,2828.77,4.5,256,Cash,Completed,Physical Store,1
TXN100129,Store_17,Department Store,Madurai,South,03-05-2024,2024,5,Home,Cookware,CUST20146,Returning,Male,36,2,1696.72,10,3054.1,2232.4,821.7,4.1,437,UPI,Completed,Physical Store,0
TXN100130,Store_8,Supermarket,Coimbatore,South,11-04-2025,2025,4,Clothing,Shirt,CUST24996,New,Female,24,1,1406.53,0,1406.53,991.83,414.7,4,26,Cash,Completed,Physical Store,0
